,week_end_date,metro,state_id,cbsa_code,cbsa_title,hh_rank,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
55,9/4/2021,albuquerque, nm,10740,"albuquerque, nm",56,6.1,-22.7,-6,-13.6,-9.8,2.2,-7.3,1.3
56,9/4/2021,worcester, ma-ct,49340,"worcester, ma-ct",57,5.3,-11.9,-7,-19.4,-3.7,1.2,25.9,1.7
57,9/4/2021,omaha-council bluffs, ne-ia,36540,"omaha-council bluffs, ne-ia",58,-1.7,-16.7,-10,-22.2,-13.3,0.6,-7.7,0.4
58,9/4/2021,knoxville, tn,28940,"knoxville, tn",59,0.0,-25.8,-12,-22.2,-4.0,2.9,7.4,2.8
59,9/4/2021,bridgeport-stamford-norwalk, ct,14860,"bridgeport-stamford-norwalk, ct",60,19.7,-50.3,5,8.9,-40.5,1.3,-47.3,0.2
60,9/4/2021,greenville-anderson-mauldin, sc,24860,"greenville-anderson-mauldin, sc",61,14.0,-38.5,-13,-23.2,-9.0,4.1,-17.6,1.7
61,9/4/2021,new haven-milford, ct,35300,"new haven-milford, ct",62,15.8,-52.7,-6,-14.3,-33.5,3.4,-0.9,3.4
62,9/4/2021,north port-sarasota-bradenton, fl,35840,"north port-sarasota-bradenton, fl",63,22.0,-66.4,-28,-41.8,-39.5,6.7,-55.5,1.4
63,9/4/2021,dayton, oh,19380,"dayton, oh",64,9.2,0.0,-7,-18.9,6.3,0.8,3.5,0.3
64,9/4/2021,urban honolulu, hi,46520,"urban honolulu, hi",65,15.5,-21.2,-20,-30.8,41.1,3.6,-50.0,-1.0
65,9/4/2021,allentown-bethlehem-easton, pa-nj,10900,"allentown-bethlehem-easton, pa-nj",66,6.8,-6.6,-1,-2.6,-9.9,-0.5,27.1,1.6
66,9/4/2021,baton rouge, la,12940,"baton rouge, la",67,9.1,-45.7,-19,-24.4,-77.2,-4.3,-89.1,-4.6
67,9/4/2021,columbia, sc,17900,"columbia, sc",68,10.0,-25.7,-18,-42.9,-8.6,2.5,-29.7,-0.5
68,9/4/2021,greensboro-high point, nc,24660,"greensboro-high point, nc",69,-15.9,-16.7,-20,-35.7,36.7,6.8,-33.8,-1.8
69,9/4/2021,fresno, ca,23420,"fresno, ca",70,14.3,13.3,-1,-3.4,8.7,-0.7,41.4,1.5
70,9/4/2021,little rock-north little rock-conway, ar,30780,"little rock-north little rock-conway, ar",71,3.6,-24.2,-6,-13.6,15.5,4.4,-31.9,-1.1
71,9/4/2021,charleston-north charleston, sc,16700,"charleston-north charleston, sc",72,-1.9,-45.7,-30,-47.6,-9.1,5.9,-30.1,1.5
72,9/4/2021,akron, oh,10420,"akron, oh",73,-0.1,2.7,-7,-15.9,16.9,1.7,27.5,1.8
73,9/4/2021,cape coral-fort myers, fl,15980,"cape coral-fort myers, fl",74,19.3,-63.0,-32,-42.1,-27.9,6.8,-42.7,2.2
74,9/4/2021,el paso, tx,21340,"el paso, tx",75,14.3,-24.9,-4,-8.7,10.9,3.7,-14.9,0.3
75,9/4/2021,oxnard-thousand oaks-ventura, ca,37100,"oxnard-thousand oaks-ventura, ca",76,-2.7,0.0,11,37.9,-6.5,-0.9,-4.3,-0.1
76,9/4/2021,colorado springs, co,17820,"colorado springs, co",77,7.5,-14.8,-15,-41.7,-0.9,2.4,9.3,1.7
77,9/4/2021,madison, wi,31540,"madison, wi",78,4.2,-13.8,-9,-17.6,-9.6,0.6,-29.3,-1.3
78,9/4/2021,bakersfield, ca,12540,"bakersfield, ca",79,2.8,-1.7,-2,-5.9,10.7,1.7,18.6,1.0
79,9/4/2021,syracuse, ny,45060,"syracuse, ny",80,-11.1,-6.6,-16,-22.5,-3.8,0.3,-4.3,0.1
80,9/4/2021,winston-salem, nc,49180,"winston-salem, nc",81,-8.8,-21.2,-13,-25.5,2.0,3.9,27.4,2.7
81,9/4/2021,deltona-daytona beach-ormond beach, fl,19660,"deltona-daytona beach-ormond beach, fl",82,21.7,-37.2,-25,-39.7,-4.8,4.4,19.8,4.2
82,9/4/2021,wichita, ks,48620,"wichita, ks",83,-13.0,-12.6,-6,-12.8,-18.8,-0.9,10.0,1.9
