month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,45083,"spartanburg, sc",268620,-0.0403,0.0788,692,0.163,-0.3242,42.5,0.148648649,-0.241071429,544,0.1148,0.0462,104,0.4444,-0.5,224,0.5556,0.0566,1517,-0.0251,0.0836,103.0875815,0.0974,0.1616,1071,0.021,-0.1411,362583.1556,-0.0554,0.0343,2209,0.027,-0.0887,2.192196532,-0.4229,0.825
202108,39145,"scioto, oh",140950,-0.0597,0.0075,93,0.0941,-0.3841,38.5,0.013157895,-0.506410256,40,-0.0909,0,0,,,24,0.5,-0.25,63,-0.0735,0.6154,86.23911393,-0.0717,-0.0006,1539,0.0033,0.0233,171435.449,-0.0083,-0.0781,156,0.0196,-0.1789,0.677419355,-0.1226,0.4191
202108,29183,"st. charles, mo",335950,-0.0028,0.0352,535,-0.048,-0.3872,41.5,0.0375,-0.341269841,496,-0.1733,-0.0677,44,-0.2143,0.2222,128,0.0667,-0.3191,996,0.0081,-0.1255,161.8261173,-0.0001,0.0928,2055.5,-0.0012,-0.0567,439602.9718,0.0206,0.1753,1531,-0.0123,-0.2391,1.861682243,0.1037,0.557
202108,37135,"orange, nc",487000,0.0253,-0.0544,122,0.0427,-0.5139,25.5,0.342105263,-0.544642857,120,-0.0625,-0.0625,4,,-0.8333,24,-0.4,-0.6842,129,-0.0153,-0.1937,222.7219064,0.0132,0.1788,2261,0.1565,-0.1623,587498.1027,-0.0068,-0.0785,251,0.0121,-0.3893,1.057377049,-0.0623,0.4199
202108,55009,"brown, wi",347900,0.0232,0.1601,272,0.0837,-0.2316,40,-0.047619048,-0.2,292,0.1774,0.058,0,,-1,72,0.2857,-0.3793,503,-0.0233,-0.1645,152.6423927,-0.02,0.1291,1953.5,0.0049,0.0164,431638.5237,0.0137,0.1708,775,0.0117,-0.1893,1.849264706,-0.2025,0.1487
202108,12101,"pasco, fl",299450,0.0329,0.1189,778,0.0716,-0.3811,33,-0.029411765,-0.352941176,808,0.0576,0.0151,40,-0.0909,-0.8148,304,0.1692,-0.3559,1864,0.0092,-0.0543,176.683257,0.0312,0.2589,1626.5,0.0301,-0.1102,372556.4212,0.0343,0.1741,2642,0.0268,-0.1815,2.395886889,-0.1482,0.8279
202108,40145,"wagoner, ok",279495,0.0163,0.1694,137,0.3048,-0.068,32,-0.085714286,-0.346938776,116,0.0357,0.16,12,2,0.5,36,0.2857,-0.1,321,-0.0123,0.1263,134.8757462,0.0436,0.1801,1947.5,-0.0325,-0.0887,302995.7784,0.0179,0.1006,458,0.0651,0.0602,2.343065693,-0.7522,0.4043
202108,12117,"seminole, fl",359925,0.0284,0.075,547,-0.047,-0.4242,35.5,0.044117647,-0.260416667,500,-0.1379,-0.0385,20,-0.4444,-0.8077,212,-0.0702,-0.4301,969,-0.0162,-0.0727,195.0105251,0.0013,0.1851,1812,0.0197,-0.1003,454447.8156,-0.004,0.0791,1516,-0.0276,-0.2401,1.771480804,0.0555,0.6715
202108,35015,"eddy, nm",241500,-0.0062,-0.0529,263,0.0233,0.1336,58.5,-0.126865672,-0.025,72,0.125,0.2857,0,,-1,48,0,1,28,0.12,0.4,138.7329921,0.0036,-0.0149,1781,-0.023,-0.0315,281491.8121,0.0077,0.01,291,0.0319,0.1548,0.106463878,0.0092,0.0203
202108,12099,"palm beach, fl",462450,0.0164,0.1564,4420,-0.016,-0.5906,45,0.022727273,-0.415584416,2512,-0.0778,-0.2285,192,-0.04,-0.1111,1064,-0.0148,-0.5172,5534,-0.0757,-0.0769,269.3478261,0.0092,0.22,1637.5,0.0114,-0.02,1534504.084,-0.0132,0.2791,9954,-0.0501,-0.4071,1.252036199,-0.0808,0.6967
202108,25001,"barnstable, ma",733450,0.0049,0.1284,1118,0.0429,-0.394,44.5,0.085365854,-0.381944444,792,0.0703,-0.0388,16,-0.2,-0.5,248,0.1071,-0.4364,1114,0.0763,-0.2588,429.8495684,-0.019,0.1822,1772,0.0023,-0.0539,1329551.928,-0.0507,0.1315,2232,0.0593,-0.3333,0.996422182,0.0309,0.1818
202108,22001,"acadia, la",178945,-0.0481,0.1184,65,0.1607,-0.3627,70,0.228070175,-0.580838323,24,0,0.5,0,,,16,0,0,45,-0.1509,0.0714,87.20930233,0.0192,0.0678,1944,-0.0743,0.0537,200901.7149,-0.0576,-0.0103,110,0.0092,-0.2361,0.692307692,-0.2541,0.2805
