month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202108,11360,"bayside, ny",,488000,0,-0.0524,166,-0.0235,-0.1487,78.5,0.171641791,0.602040816,28,-0.2222,-0.5333,0,,,24,-0.3333,-0.4545,50,0.0417,-0.1228,0,,,0,,,626426.3243,-0.0188,-0.0691,216,-0.0092,-0.1429,0.301204819,0.0189,0.0089
202108,92210,"indian wells, ca",*,1264500,-0.0485,,43,-0.3385,,50.5,2.366666667,,20,-0.1667,-0.5833,0,,-1,8,,-0.6,21,-0.5714,-0.6441,404.6758415,0.0153,0.2216,3067,-0.0173,-0.031,2240678.193,-0.0958,0.2008,64,-0.4386,-0.6981,0.488372093,-0.2655,0.1028
202108,21133,"randallstown, md",*,312500,0.0417,,21,0.2353,,32,-0.2,,20,0,0.25,0,,,12,0.5,2,43,-0.1731,2.9091,159.5527331,0.005,0.0982,1823,0.0128,0.0219,316452.4764,0.0143,0.1107,64,-0.0725,1.7826,2.047619048,-1.0112,1.131
202108,44105,"cleveland, oh",,65750,0.0977,0.2644,67,0.0984,0.1754,50,-0.107142857,-0.21875,24,-0.25,-0.1429,0,,,24,0.5,1,39,0,-0.093,41.95359543,0.0514,0.1941,1488,0.099,0.1088,87132.05208,0.0454,0.3757,106,0.06,0.06,0.582089552,-0.0573,-0.1723
202108,84036,"kamas, ut",,1478813,-0.0141,0.1831,82,0.0649,-0.1881,48.5,0.385714286,-0.177966102,48,0.3333,0.7143,0,,-1,32,1.6667,1,208,0.0348,0.6774,473.933014,-0.0003,0.2202,3405,0.0772,-0.0159,2207646.241,0.0592,0.0378,290,0.0432,0.2889,2.536585366,-0.0738,1.3089
202108,3055,"milford, nh",*,382450,-0.1463,,15,-0.1176,-0.5946,37,1.176470588,0.057142857,12,-0.5,-0.5714,0,,,4,0,-0.5,20,-0.1304,0.0526,235.1525515,0.0806,0.03,1592,-0.215,-0.1204,401891.8375,-0.1243,-0.0629,35,-0.125,-0.375,1.333333333,-0.0196,0.8198
202108,54021,"prescott, wi",*,330000,-0.0804,,43,0.6538,,19.5,-0.303571429,,12,-0.25,0,4,,,4,0,0,26,0.0833,2.25,186.0789284,-0.008,0.1206,1754,-0.1389,-0.0431,398380.2584,-0.0876,0.1869,69,0.38,0.9167,0.604651163,-0.3184,0.3189
202108,64130,"kansas city, mo",*,104975,-0.0856,,38,0.1515,,27.5,0.1,,24,-0.1429,0.2,0,,,16,-0.2,0.3333,46,0.1795,0.3529,84.47102221,-0.0095,0.5673,1191.5,-0.067,-0.1817,111395.896,0.0289,0.3957,84,0.1667,0.4737,1.210526316,0.0287,-0.2677
202108,19938,"clayton, de",,329500,0.1362,0.011,14,0.4,-0.44,21.5,-0.511363636,-0.930194805,16,0.3333,3,0,,-1,4,0,,41,-0.0238,4.8571,177.1999362,-0.0051,0.2413,1896,0.2,-0.1206,327330.5208,0.1034,0.0477,55,0.0577,0.7188,2.928571429,-1.2714,2.6486
202108,32358,"sopchoppy, fl",,309900,-0.0581,0.1269,16,0.0667,-0.3043,65,-0.109589041,-0.097222222,8,1,1,0,,,0,,,2,,-0.3333,157.0945946,-0.0176,-0.2097,1519,0.0147,-0.0969,392233.6111,0.0138,0.0081,18,0.2,-0.3077,0.125,0.125,-0.0054
